Module_id,Module_name,KO_count,KO_set
M00892,"UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc",8,"K00621,K00820,K00844,K00845,K00972,K01810,K01836,K12407"
M00893,"Lovastatin biosynthesis, malonyl-CoA => lovastatin acid",6,"K20980,K20981,K20982,K20983,K20984,K20985"
M00894,"Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol",4,"K20501,K20502,K20503,K20508"
M00900,"Crocin biosynthesis, crocetin => crocin",2,"K21354,K21371"
M00901,"Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline",4,"K23665,K23666,K23667,K23668"
M00902,"Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin",7,"K19650,K21202,K21203,K21204,K21205,K21207,K21568"
M00903,"Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin",6,"K09459,K12901,K12902,K12903,K23999,K24000"
M00904,"Dapdiamides biosynthesis, L-2,3-diaminopropanoate => dapdiamide A/B/C",3,"K01957,K22113,K22114"
M00905,"Grixazone biosynthesis, aspartate 4-semialdehyde => grixazone B",3,"K17835,K18287,K20204"
M00906,"Ethynylserine biosynthesis, lysine => ethynylserine",5,"K23669,K23670,K23671,K23672,K23673"
M00909,"UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc",7,"K00820,K00845,K01810,K03431,K04042,K13810,K15916"
M00910,Phenylalanine_biosynthesis,3,"K01850,K05359,K15849"
M00911,Riboflavin_biosynthesis_fungi,8,"K00793,K00794,K00861,K00953,K01497,K02858,K14654,K14655"
M00912,NAD_biosynthesis,13,"K00452,K00453,K00463,K00486,K00767,K00969,K01432,K01556,K01916,K01950,K06210,K07130,K14263"
M00913,Pantothenate_biosynthesis,5,"K00077,K00128,K00606,K01918,K13367"
M00914,Coenzyme_A_biosynthesis_archaea,7,"K00077,K00606,K02201,K06982,K09722,K09735,K13038"
M00915,Caffeine_degradation,3,"K21722,K21723,K21724"
M00916,Pyridoxal-P_biosynthesis,2,"K06215,K08681"
M00917,Phytosterol_biosynthesis_squalene_2,13,"K00213,K00222,K00227,K00559,K01824,K01853,K05917,K08242,K08246,K09828,K14423,K14424,K23558"
M00918,Aerobactin_biosynthesis,4,"K03894,K03895,K03896,K03897"
M00919,Ectoine_degradation,4,"K15783,K15784,K15785,K15786"
M00921,Cyclooctatin_biosynthesis,4,"K13787,K18686,K22997,K22998"
M00922,CMP-Neu5Ac_biosynthesis,3,"K00983,K01654,K24257"
M00923,UDP-L-FucNAm_biosynthesis,4,"K15894,K19068,K24258,K24259"
M00924,Cobalamin_biosynthesis_anaerobicc-diamide,21,"K00595,K02188,K02189,K02190,K02191,K02224,K02302,K02303,K02304,K03394,K03399,K03795,K05895,K05934,K05936,K06042,K13541,K13542,K21479,K22011,K24866"
M00925,Cobalamin_biosynthesis_aerobicc-diamide,16,"K00595,K02224,K02228,K02229,K02230,K02303,K03394,K05895,K05934,K05936,K06042,K09882,K09883,K13540,K13541,K13542"
M00926,Heme_biosynthesis_bacteria,10,"K00231,K00435,K01599,K01698,K01719,K01749,K01772,K01845,K02492,K13542"
M00927,Gibberellin_A12_biosynthesis,4,"K04120,K04121,K04122,K04123"
M00928,Gibberellin_A4--A1_biosynthesis,2,"K04124,K05282"
M00929,Gibberellin_A1_biosynthesis,5,"K12917,K12918,K12919,K20657,K21292"
M00930,Menaquinone_biosynthesis_futalosine_pathway,7,"K11782,K11783,K11784,K11785,K18285,K18286,K20810"
M00931,Menaquinone_biosynthesis_modified_futalosine_pathway,5,"K11782,K11784,K11785,K18284,K18285"
M00932,Phylloquinone_biosynthesis,13,"K01661,K01911,K02549,K02551,K02552,K08680,K12073,K14759,K14760,K17872,K19222,K23094,K23095"
M00933,Plastoquinone_biosynthesis,2,"K12501,K12502"
M00934,Mycinamicin_biosynthesis,12,"K21539,K21540,K24292,K24390,K24528,K24529,K24530,K24531,K24559,K24560,K24561,K24562"
M00935,Methanofuran_biosynthesis,6,"K06914,K07072,K07144,K09733,K18933,K19793"
M00936,Melatonin_biosynthesis_plants,5,"K01593,K13066,K22450,K22588,K24541"
M00937,Aflatoxin_biosynthesis,17,"K15316,K17643,K17644,K17645,K17646,K17648,K17649,K17650,K17651,K17652,K24438,K24439,K24440,K24855,K24856,K24857,K24858"
M00938,Pyrimidine_deoxyribonucleotide_biosynthesis,11,"K00525,K00526,K00560,K00940,K00943,K01520,K03465,K10807,K10808,K13998,K18533"
M00939,Pyrimidine_degradation,7,"K09018,K09019,K09020,K09021,K09023,K09024,K16066"
M00940,Flavanone_biosynthesis,3,"K00660,K01859,K08243"
M00941,Isoflavone_biosynthesis,2,"K13257,K13258"
M00942,Pterocarpan_biosynthesis,5,"K05281,K13259,K13260,K13265,K25075"
M00943,Reticuline_biosynthesis,5,"K13382,K13383,K13384,K13385,K13386"
M00944,Morphine_biosynthesis,8,"K01742,K13391,K13392,K13393,K13394,K14975,K14976,K22093"
M00945,Sanguinarine_biosynthesis,7,"K00307,K13395,K13396,K21070,K21692,K21693,K22089"
M00946,Noscapine_biosynthesis,12,"K00307,K13395,K13396,K13397,K20621,K22094,K22095,K22096,K22097,K22098,K23157,K23158"
M00947,D-Arginine_racemization,2,"K19744,K19746"
M00948,Hydroxyproline_degradation,7,"K12658,K13877,K21060,K21061,K21062,K22549,K22550"
M00949,Staphylopine_biosynthesis,3,"K01780,K23120,K23122"
M00950,Biotin_biosynthesis_BioU_pathway,4,"K00652,K01012,K01935,K25570"
