Module_id,Module_name,KO_count,KO_set
M00076,Dermatan sulfate degradation,5,"K01135,K01136,K01195,K01197,K01217"
M00077,Chondroitin sulfate degradation,4,"K01132,K01135,K01195,K01197"
M00078,Heparan sulfate degradation,9,"K01136,K01137,K01195,K01205,K01217,K01565,K07964,K07965,K10532"
M00079,Keratan sulfate degradation,4,"K01132,K01137,K12309,K12373"
M00081,Pectin degradation,3,"K01051,K01184,K01213"
M00082,"Fatty acid biosynthesis, initiation",14,"K00645,K00648,K00665,K00667,K00668,K01961,K01962,K01963,K02160,K11262,K11263,K11533,K18472,K18473"
M00083,"Fatty acid biosynthesis, elongation",14,"K00059,K00208,K00209,K00647,K00665,K00667,K00668,K01716,K02371,K02372,K09458,K10780,K11533,K16363"
M00085,Fatty acid elongation in mitochondria,6,"K00022,K07508,K07509,K07511,K07512,K07515"
M00086,"beta-Oxidation, acyl-CoA synthesis",2,"K01897,K15013"
M00087,beta-Oxidation,19,"K00022,K00232,K00249,K00255,K00632,K01692,K01782,K01825,K06445,K07508,K07509,K07511,K07513,K07514,K07515,K07516,K09479,K10527,K13767"
M00088,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone",5,"K00019,K00626,K01574,K01640,K01641"
M00089,Triacylglycerol biosynthesis,22,"K00629,K00630,K00655,K01080,K11155,K11160,K13506,K13507,K13508,K13509,K13513,K13517,K13519,K13523,K14456,K14674,K15728,K18693,K19007,K22831,K22848,K22849"
M00090,"Phosphatidylcholine (PC) biosynthesis, choline => PC",5,"K00866,K00968,K00994,K13644,K14156"
M00091,"Phosphatidylcholine (PC) biosynthesis, PE => PC",4,"K00550,K00551,K00570,K16369"
M00092,"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE",5,"K00894,K00967,K00993,K13644,K14156"
M00093,"Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE",4,"K00981,K00998,K01613,K17103"
M00094,Ceramide biosynthesis,6,"K00654,K04708,K04709,K04710,K04712,K23727"
M00095,"C5 isoprenoid biosynthesis, mevalonate pathway",8,"K00021,K00626,K00869,K00938,K01597,K01641,K01823,K13273"
M00096,"C5 isoprenoid biosynthesis, non-mevalonate pathway",9,"K00099,K00919,K00991,K01662,K01770,K01823,K03526,K03527,K12506"
M00097,"beta-Carotene biosynthesis, GGAP => beta-carotene",6,"K00514,K02291,K02293,K06443,K09835,K15744"
M00098,Acylglycerol degradation,15,"K01046,K01054,K12298,K13534,K14073,K14074,K14075,K14076,K14452,K14674,K14675,K16816,K17900,K22283,K22284"
M00099,Sphingosine biosynthesis,9,"K00654,K01441,K04708,K04709,K04710,K04712,K12348,K12349,K23727"
M00100,Sphingosine degradation,2,"K01634,K04718"
M00101,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",11,"K00213,K00222,K00227,K01824,K01852,K05917,K07748,K07750,K09827,K09828,K13373"
M00102,Ergocalciferol biosynthesis,11,"K00222,K00223,K00227,K00559,K01852,K05917,K07748,K07750,K09827,K09829,K09831"
