taxon,hex_colour
Acidiluteibacter ferrifornacis,#5AEC6F
Acidimangrovimonas,#F6F217
Acidimangrovimonas sediminis,#51A9DA
Acidimicrobiaceae,#65D35F
Acidimicrobiaceae bacterium,#73A00E
Acidimicrobiaceae bacterium TMED130,#B567DC
Acidimicrobiaceae bacterium TMED77,#8129B7
Acidimicrobiales,#C99736
Acidimicrobiales bacterium,#6CD0ED
Acidimicrobiales bacterium 20-64-4,#5DEEF7
Acidimicrobiales bacterium MED-G01,#63E9E4
Acidimicrobiales bacterium mtb01,#6046D9
Acidimicrobiia,#7C3CE4
Acidimicrobiia bacterium,#B5142C
Acidimicrobium,#31BA08
Acidimicrobium ferrooxidans,#169A52
Acidimicrobium sp.,#CAF663
Acidimicrobium sp. BACL17 MAG-120924-bin0,#10CE5B
Acidimicrobium sp. BACL19 MAG-120924-bin39,#20CF83
Acidimicrobium sp. BACL27 MAG-120823-bin4,#B0D740
Acidiphilium,#C78E09
Acidiphilium angustum,#8D2867
Acidiphilium cryptum,#7A6FE6
Acidiphilium iwatense,#BA09B6
Acidiphilium multivorum,#25BF47
Acidiphilium rubrum,#8ADD1F
Acidiphilium sp. 20-67-58,#0CD5F4
Acidiphilium sp. 21-62-4,#9207B2
Acidiphilium sp. 21-66-27,#899224
Acidiphilium sp. 34-64-41,#0ABAF0
Acidiphilium sp. 37-64-53,#57CB18
Acidiphilium sp. C61,#6B3CCE
Acidiphilium sp. CAG:727,#45E661
Acidiphilium sp. JA12-A1,#AC21C7
Acidiphilium sp. PM,#F1D943
Acidipila,#4B09CC
Acidipila dinghuensis,#0753BF
Acidipila rosea,#762CC9
Acidipila sp. 4G-K13,#EE59BB
Acidipila sp. EB88,#1545E3
Acidiplasma,#24E61A
Acidiplasma aeolicum,#9C3DEB
Acidiplasma cupricumulans,#B14231
Acidipropionibacterium,#D2531E
Acidipropionibacterium acidipropionici,#D98976
Acidipropionibacterium jensenii,#F35163
Acidipropionibacterium thoenii,#E5711B
Acidipropionibacterium timonense,#B1AA30
Acidipropionibacterium virtanenii,#8756E7
Acidisarcina,#69A2D6
Acidisarcina polymorpha,#2B7BB6
Acidisoma,#C2E20F
Acidisoma cellulosilyticum,#D04A25
Acidisoma silvae,#AA1476
Acidisoma sp. L85,#20C181
Acidisoma sp. S159,#9F205F
Acidisphaera,#10A794
Acidisphaera rubrifaciens,#D4DD79
Acidisphaera sp. L21,#CA0ADE
Acidisphaera sp. S103,#278982
Aciditerrimonas,#BAD74A
Aciditerrimonas ferrireducens,#62F862
Acidithiobacillaceae,#6CD87A
Acidithiobacillales,#BC5DEF
Acidithiobacillales bacterium SG8_45,#91E15A
Acidithiobacillales bacterium SM1_46,#EB6E7E
Acidithiobacillales bacterium SM23_46,#F54CB5
Acidithiobacillia,#F5C257
Acidithiobacillus,#229D72
Acidithiobacillus caldus,#9047ED
Acidithiobacillus ferrianus,#28E658
Acidithiobacillus ferridurans,#68D6F2
Acidithiobacillus ferriphilus,#5640DE
Acidithiobacillus ferrivorans,#C7F31D
Acidithiobacillus ferrooxidans,#168BC0
Acidithiobacillus sp.,#DEB87D
Acidithiobacillus sp. ATCC 19703,#1952DF
Acidithiobacillus sp. GG1-14,#B53BDB
Acidithiobacillus sp. GGI-221,#1E6093
Acidithiobacillus sp. MC2.2,#26CDF5
Acidithiobacillus sp. MC6.1,#E76FC7
Acidithiobacillus sp. RW2,#729EE5
Acidithiobacillus sp. SH,#27359E
Acidithiobacillus sulfuriphilus,#83C731
Acidithiobacillus thiooxidans,#D2E377
Acidithrix,#15ABF0
Acidithrix ferrooxidans,#CD9A4B
Acidithrix sp. C25,#9E177A
Acidobacteria,#D813D2
Acidobacteria bacterium,#1CCE56
Acidobacteria bacterium 13_1_20CM_2_55_15,#0EEA2A
Acidobacteria bacterium 13_1_20CM_2_57_8,#9109AE
Acidobacteria bacterium 13_1_20CM_2_60_10,#6540E5
Acidobacteria bacterium 13_1_20CM_2_65_9,#B8BE0A
Acidobacteria bacterium 13_1_20CM_2_68_14,#EC5D7A
Acidobacteria bacterium 13_1_20CM_2_68_7,#1D4292
Acidobacteria bacterium 13_1_20CM_3_53_8,#E2A810
Acidobacteria bacterium 13_1_20CM_3_58_11,#A83CEE
Acidobacteria bacterium 13_1_20CM_4_56_7,#2DC855
Acidobacteria bacterium 13_1_20CM_4_57_11,#E0C21F
Acidobacteria bacterium 13_1_20CM_58_21,#67E3C0
Acidobacteria bacterium 13_1_40CM_2_56_11,#E09167
Acidobacteria bacterium 13_1_40CM_2_56_5,#0CD286
Acidobacteria bacterium 13_1_40CM_2_60_7,#F0CA64
Acidobacteria bacterium 13_1_40CM_2_64_6,#29BC9D
Acidobacteria bacterium 13_1_40CM_2_68_10,#B9752D
Acidobacteria bacterium 13_1_40CM_2_68_5,#4FF8F7
Acidobacteria bacterium 13_1_40CM_3_55_6,#258ABB
Acidobacteria bacterium 13_1_40CM_3_56_11,#33E5BD
Acidobacteria bacterium 13_1_40CM_3_65_5,#3CBF2B
Acidobacteria bacterium 13_1_40CM_4_57_6,#26F4CC
Acidobacteria bacterium 13_1_40CM_4_58_4,#28C25C
Acidobacteria bacterium 13_1_40CM_4_61_5,#383AEB
Acidobacteria bacterium 13_1_40CM_4_65_8,#6CEE6F
Acidobacteria bacterium 13_1_40CM_4_69_4,#C01195
Acidobacteria bacterium 13_1_40CM_56_16,#23E373
Acidobacteria bacterium 13_1_40CM_65_14,#EE1A7D
Acidobacteria bacterium 13_2_20CM_2_57_12,#50BADC
Acidobacteria bacterium 13_2_20CM_2_57_6,#A33F0C
Acidobacteria bacterium 13_2_20CM_2_66_4,#B7D853
Acidobacteria bacterium 13_2_20CM_56_17,#9DE427
Acidobacteria bacterium 13_2_20CM_57_17,#70C0E8
Acidobacteria bacterium 13_2_20CM_57_7,#F7822A
Acidobacteria bacterium 13_2_20CM_58_27,#F351E1
Acidobacteria bacterium 21-70-11,#18A622
Acidobacteria bacterium 37-65-4,#E35688
Acidobacteria bacterium 37-71-11,#28D640
Acidobacteria bacterium AB60,#A0D444
Acidobacteria bacterium ADurb.Bin051,#0E2AE1
Acidobacteria bacterium ADurb.Bin340,#823DCE
Acidobacteria bacterium CG_4_9_14_3_um_filter_49_7,#43BDD4
Acidobacteria bacterium Mor1,#F61E6A
Acidobacteria bacterium OLB17,#E4DD3A
Acidobacteria bacterium RBG_13_68_16,#D74C74
Acidobacteria bacterium RBG_16_64_8,#7A56E1
Acidobacteria bacterium RBG_16_68_9,#29AEA6
Acidobacteria bacterium RBG_16_70_10,#F94861
Acidobacteria bacterium RIFCSPHIGHO2_01_FULL_67_28,#967E2A
Acidobacteria bacterium RIFCSPHIGHO2_02_FULL_67_57,#12C10F
Acidobacteria bacterium RIFCSPHIGHO2_12_FULL_67_30,#BE8734
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_59_13,#6285F5
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_60_20,#0959B9
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28,#E118AC
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15,#D778E2
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_65_29,#5288D7
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21,#EA2E9B
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36,#3410AA
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_68_18,#1ADADC
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_54_10,#0CAA4E
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_59_11,#D81835
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_60_22,#1AA2A3
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_65_11,#AC4709
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_10,#EE4051
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21,#11A869
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14,#3470F2
