	Domain	Phylum	Class	Order	Family	Genus	Species
OTU25839	Bacteria	Bacillota	 Bacilli	Caryophanales	Paenibacillaceae	Paenibacillus	 Paenibacillus luteus
OTU25840	Bacteria	Bacteroidota	 Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	 Chryseobacterium carnipullorum
OTU25841	Eukaryota	Evosea	 Eumycetozoa	Physariida	Physaraceae	Physarum	 Physarum polycephalum
OTU25842	Bacteria	Candidatus Vogelbacteria	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Vogelbacteria bacterium RIFOXYD1_FULL_46_19
OTU25843	Bacteria	Bacteroidota	 Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	 Phocaeicola sp. Sa1CVN1
OTU25844	Bacteria	Actinomycetota	 Actinomycetia	Micromonosporales	Micromonosporaceae	Micromonospora	 Micromonospora haikouensis
OTU25845	Eukaryota	Basidiomycota	 Agaricomycetes	Boletales	Coniophoraceae	Coniophora	 Coniophora puteana
OTU25846	Bacteria	Bacillota	 Bacilli	Lactobacillales	Lactobacillaceae	Agrilactobacillus	 Agrilactobacillus yilanensis
OTU25847	Eukaryota	Mucoromycota	 Mortierellomycetes	Mortierellales	Mortierellaceae	Modicella	 Modicella reniformis
OTU25848	Bacteria	Bacillota	 Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	 Streptococcus catagoni
OTU25849	Archaea	Candidatus Aenigmarchaeota	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Aenigmarchaeota archaeon CG_4_8_14_3_um_filter_37_24
OTU25850	Bacteria	Pseudomonadota	 Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	 Acinetobacter ursingii
OTU25851	Bacteria	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 Parcubacteria group bacterium GW2011_GWA1_45_7
OTU25852	Bacteria	Pseudomonadota	 Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	 Colwellia sp. 12G3
OTU25853	Bacteria	Actinomycetota	 Actinomycetia	Kineosporiales	Kineosporiaceae	Quadrisphaera	 uncultured Quadrisphaera sp.
OTU25854	Bacteria	Bacillota	 Bacilli	Caryophanales	Caryophanaceae	Sporosarcina	 Sporosarcina sp. Te-1
OTU25855	Bacteria	Candidatus Shapirobacteria	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Shapirobacteria bacterium CG_4_8_14_3_um_filter_39_11
OTU25856	Bacteria	Pseudomonadota	 Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	 Sphingorhabdus sp. 109
