KO,category,description,ST8_group,data_layer,amazonian_mean_count,external_group_mean_count,log2_ratio_amazonia_vs_external,n_external_samples,detection_fraction_external
K07307: dmsB,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit B (dmsB),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,6.6,0.0,2.925999418556223,21,0.0
K07307: dmsB,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit B (dmsB),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,6.6,0.0,2.925999418556223,4,0.0
K07307: dmsB,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit B (dmsB),Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,6.6,3.0,0.925999418556223,9,0.5555555555555556
K07307: dmsB,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit B (dmsB),Other iron-rich / unassigned,Metagenomics,6.6,0.0,2.925999418556223,1,0.0
K07308: dmsC,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit C (dmsC),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,0.4,0.25,0.1634987322828793,4,0.25
K07308: dmsC,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit C (dmsC),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,0.4,0.0,0.4854268271702417,7,0.0
K07308: dmsC,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit C (dmsC),Control: Burr Oak Reservoir BO4,Metagenomics,0.4,0.0,0.4854268271702417,2,0.0
K07308: dmsC,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit C (dmsC),Ferruginous lake/sediment group: Lake Matano,Metagenomics,0.4,5.666666666666667,-2.251538766995965,6,0.8333333333333334
K07308: dmsC,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit C (dmsC),Ferruginous lake/sediment group: Lake Superior,Combined assembly,0.4,6.0,-2.321928094887363,1,1.0
K07308: dmsC,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit C (dmsC),Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,0.4,0.0,0.4854268271702417,1,0.0
K07308: dmsC,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit C (dmsC),Ferruginous lake/sediment group: Lake Towuti,Metagenomics,0.4,0.6363636363636364,-0.2250665556347734,11,0.4545454545454545
K07308: dmsC,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit C (dmsC),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,0.4,0.04761904761904762,0.4183126313117046,21,0.04761904761904762
K07308: dmsC,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit C (dmsC),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,0.4,0.0,0.4854268271702417,4,0.0
K07308: dmsC,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit C (dmsC),Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,0.4,0.0,0.4854268271702417,9,0.0
K07308: dmsC,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit C (dmsC),Other iron-rich / unassigned,Metagenomics,0.4,1.0,-0.5145731728297583,1,1.0
K23349: dmsD,Anaerobic oxidative phosphorylation,putative dimethyl sulfoxide reductase chaperone,Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,2.25,0.0,1.700439718141092,4,0.0
K23349: dmsD,Anaerobic oxidative phosphorylation,putative dimethyl sulfoxide reductase chaperone,Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,2.25,0.0,1.700439718141092,7,0.0
K23349: dmsD,Anaerobic oxidative phosphorylation,putative dimethyl sulfoxide reductase chaperone,Control: Burr Oak Reservoir BO4,Metagenomics,2.25,0.0,1.700439718141092,2,0.0
K23349: dmsD,Anaerobic oxidative phosphorylation,putative dimethyl sulfoxide reductase chaperone,Ferruginous lake/sediment group: Lake Matano,Metagenomics,2.25,0.0,1.700439718141092,6,0.0
K23349: dmsD,Anaerobic oxidative phosphorylation,putative dimethyl sulfoxide reductase chaperone,Ferruginous lake/sediment group: Lake Superior,Combined assembly,2.25,0.0,1.700439718141092,1,0.0
K23349: dmsD,Anaerobic oxidative phosphorylation,putative dimethyl sulfoxide reductase chaperone,Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,2.25,1.0,0.7004397181410922,1,1.0
K23349: dmsD,Anaerobic oxidative phosphorylation,putative dimethyl sulfoxide reductase chaperone,Ferruginous lake/sediment group: Lake Towuti,Metagenomics,2.25,0.0,1.700439718141092,11,0.0
K23349: dmsD,Anaerobic oxidative phosphorylation,putative dimethyl sulfoxide reductase chaperone,Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,2.25,0.0,1.700439718141092,21,0.0
K23349: dmsD,Anaerobic oxidative phosphorylation,putative dimethyl sulfoxide reductase chaperone,Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,2.25,0.0,1.700439718141092,4,0.0
K23349: dmsD,Anaerobic oxidative phosphorylation,putative dimethyl sulfoxide reductase chaperone,Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,2.25,0.0,1.700439718141092,9,0.0
K23349: dmsD,Anaerobic oxidative phosphorylation,putative dimethyl sulfoxide reductase chaperone,Other iron-rich / unassigned,Metagenomics,2.25,0.0,1.700439718141092,1,0.0
K04040: chlG,Anoxygenic photosynthesis (Green Sulfur Bacteria),"chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133] (chlG, bchG)",Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,0.35,4.75,-2.090602548780907,4,1.0
K04040: chlG,Anoxygenic photosynthesis (Green Sulfur Bacteria),"chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133] (chlG, bchG)",Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,0.35,0.0,0.4329594072761063,7,0.0
K04040: chlG,Anoxygenic photosynthesis (Green Sulfur Bacteria),"chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133] (chlG, bchG)",Control: Burr Oak Reservoir BO4,Metagenomics,0.35,2.0,-1.15200309344505,2,1.0
K04040: chlG,Anoxygenic photosynthesis (Green Sulfur Bacteria),"chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133] (chlG, bchG)",Ferruginous lake/sediment group: Lake Matano,Metagenomics,0.35,21.5,-4.058893689053568,6,1.0
K04040: chlG,Anoxygenic photosynthesis (Green Sulfur Bacteria),"chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133] (chlG, bchG)",Ferruginous lake/sediment group: Lake Superior,Combined assembly,0.35,10.0,-3.026472211361191,1,1.0
K04040: chlG,Anoxygenic photosynthesis (Green Sulfur Bacteria),"chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133] (chlG, bchG)",Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,0.35,5.0,-2.15200309344505,1,1.0
K04040: chlG,Anoxygenic photosynthesis (Green Sulfur Bacteria),"chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133] (chlG, bchG)",Ferruginous lake/sediment group: Lake Towuti,Metagenomics,0.35,68.9090909090909,-5.694448762048423,11,1.0
K04040: chlG,Anoxygenic photosynthesis (Green Sulfur Bacteria),"chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133] (chlG, bchG)",Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,0.35,0.0,0.4329594072761063,21,0.0
K04040: chlG,Anoxygenic photosynthesis (Green Sulfur Bacteria),"chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133] (chlG, bchG)",Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,0.35,0.0,0.4329594072761063,4,0.0
K04040: chlG,Anoxygenic photosynthesis (Green Sulfur Bacteria),"chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133] (chlG, bchG)",Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,0.35,0.5555555555555556,-0.2044705133391855,9,0.3333333333333333
