	Ga0540489_genes.fna.	Ga0541010_genes.fna.	Ga0541012_genes.fna.	Ga0541011_genes.fna.	Ga0541014_genes.fna.	Ga0541013_genes.fna.	Ga0541015_genes.fna.	Ga0541016_genes.fna.	Ga0541017_genes.fna.	Ga0541018_genes.fna.	Ga0541019_genes.fna.	Ga0541020_genes.fna.	Ga0541021_genes.fna.	Ga0541022_genes.fna.	Ga0541023_genes.fna.	Ga0541024_genes.fna.	Ga0541025_genes.fna.	Ga0541026_genes.fna.	Ga0541027_genes.fna.	Ga0541028_genes.fna.
OTU11342	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11343	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU11344	1	3	1	1	3	3	2	1	4	1	4	5	7	3	3	2	0	2	4	3
OTU11345	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11346	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU11347	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
OTU11348	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11349	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11350	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11351	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11352	1	1	0	0	0	1	3	0	0	0	0	0	1	0	0	2	0	0	0	0
OTU11353	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU11354	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
OTU11355	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU11356	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU11357	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
OTU11358	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0
OTU11359	2	1	0	0	0	0	0	0	1	0	0	1	0	0	1	3	1	2	2	0
OTU11360	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU11361	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11362	1	0	0	0	1	0	2	0	2	0	0	0	1	1	2	1	0	1	1	0
OTU11363	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	2	0	1	1	0
OTU11364	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
OTU11365	1	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0
OTU11366	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU11367	1	0	0	0	0	0	1	0	2	1	0	1	1	0	0	0	0	0	0	0
OTU11368	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
OTU11369	1	2	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	1	1
OTU11370	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1
OTU11371	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11372	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
OTU11373	1	1	0	2	1	1	0	1	2	1	0	0	0	0	3	1	0	1	0	0
OTU11374	1	1	7	0	0	2	0	0	0	0	0	3	3	4	2	1	0	1	2	1
OTU11375	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
OTU11376	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU11377	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11378	1	1	1	2	0	3	2	0	35	0	0	0	0	0	12	3	0	0	0	1
OTU11379	1	0	0	0	0	0	2	2	0	0	0	1	0	0	1	0	0	0	0	0
OTU11380	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU11381	1	4	4	3	1	2	2	2	1	5	2	4	4	3	2	5	0	0	3	1
OTU11382	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11383	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0
OTU11384	2	1	1	1	0	3	1	0	2	0	0	2	2	1	0	1	0	3	3	2
OTU11385	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU11386	1	1	0	0	0	0	0	2	2	1	1	3	1	0	3	1	0	0	0	0
OTU11387	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU11388	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU11389	1	1	2	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1
OTU11390	1	5	10	4	2	4	2	0	1	1	6	4	5	8	0	4	1	6	2	5
OTU11391	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11392	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU11393	2	1	3	0	0	0	1	0	2	0	0	0	0	0	1	2	0	0	0	0
OTU11394	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU11395	1	0	1	0	0	1	2	1	0	0	0	1	2	1	0	1	0	0	1	1
OTU11396	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0
OTU11397	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11398	1	1	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0
OTU11399	2	1	2	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1
OTU11400	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
OTU11401	1	3	8	3	7	11	5	1	15	4	1	11	15	14	6	6	1	2	5	5
OTU11402	2	2	1	0	0	0	1	1	0	1	0	1	0	1	2	0	0	0	0	0
OTU11403	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
OTU11404	1	0	4	1	2	9	4	1	1	0	1	2	2	4	0	1	0	0	2	2
OTU11405	1	0	2	0	0	0	1	0	2	0	0	0	1	1	0	1	0	0	0	0
OTU11406	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
OTU11407	1	1	1	0	1	0	0	0	1	0	0	1	1	0	2	3	0	0	0	0
OTU11408	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1
OTU11409	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU11410	1	9	10	13	2	11	12	6	1	15	3	14	5	8	4	9	0	7	12	9
OTU11411	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
OTU11412	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11413	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11414	1	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0
OTU11415	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11416	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU11417	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11418	2	4	1	1	0	3	0	1	3	0	1	3	4	2	1	5	0	0	3	2
OTU11419	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU11420	2	0	3	0	2	2	3	1	1	1	1	1	1	1	1	3	0	2	1	1
OTU11421	2	3	4	2	3	2	7	3	7	4	2	3	1	0	5	6	0	2	3	1
OTU11422	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11423	1	3	1	0	1	0	2	0	2	1	0	0	2	1	10	3	0	1	0	0
OTU11424	2	2	0	0	0	1	1	1	4	1	1	1	2	0	3	0	0	0	0	0
OTU11425	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
OTU11426	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0
OTU11427	2	4	4	49	13	4	4	16	4	13	9	6	2	30	3	5	3	1	17	9
OTU11428	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11429	1	0	0	1	0	1	0	0	0	0	2	1	1	0	1	1	0	1	0	0
OTU11430	2	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0
OTU11431	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
OTU11432	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU11433	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11434	1	4	13	4	4	5	6	1	4	1	6	9	6	4	6	7	0	5	3	4
OTU11435	1	0	0	0	0	0	1	1	1	0	0	2	0	0	5	1	0	1	0	0
OTU11436	1	2	2	1	1	1	2	4	0	1	2	0	4	2	0	2	0	1	1	2
OTU11437	2	2	0	0	0	0	1	0	0	1	0	0	2	2	0	1	0	0	0	0
OTU11438	2	1	1	1	0	0	1	1	2	0	0	0	1	0	1	2	0	0	1	0
OTU11439	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
OTU11440	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11441	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0
OTU11442	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0
OTU11443	1	1	0	0	0	3	1	0	1	0	0	0	0	1	2	1	0	0	1	2
OTU11444	1	0	1	0	0	0	0	0	2	1	0	2	1	0	1	0	0	0	0	0
OTU11445	2	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	1
OTU11446	2	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0
OTU11447	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11448	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0
OTU11449	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11450	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
OTU11451	2	0	5	0	1	0	0	1	0	2	0	0	3	2	0	0	0	0	0	1
OTU11452	1	0	1	0	1	2	1	0	0	0	0	0	0	0	1	0	0	1	1	0
OTU11453	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	0	0
OTU11454	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11455	1	0	4	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU11456	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU11457	1	0	1	0	1	1	0	1	1	0	0	6	3	2	2	1	0	0	0	0
OTU11458	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11459	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU11460	2	3	3	0	1	1	1	0	0	0	0	0	2	0	0	0	0	1	1	0
OTU11461	1	3	3	0	1	2	5	4	2	2	0	0	7	1	0	2	0	5	1	1
OTU11462	2	0	0	1	1	2	0	1	2	0	0	0	1	1	2	1	0	0	1	1
OTU11463	2	2	0	0	2	2	2	2	6	0	0	4	2	1	3	7	0	1	1	1
OTU11464	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0
OTU11465	2	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0
OTU11466	1	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
OTU11467	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU11468	2	0	3	0	0	0	3	0	1	0	0	1	2	0	1	2	0	0	0	0
OTU11469	1	2	0	0	0	0	2	0	0	1	0	1	0	0	2	0	0	0	0	0
OTU11470	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU11471	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
OTU11472	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	1	0	0
OTU11473	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0
OTU11474	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU11475	2	1	1	0	1	2	3	0	0	0	1	2	0	2	1	0	0	1	1	2
OTU11476	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU11477	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11478	1	0	2	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	0
OTU11479	1	1	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU11480	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11481	1	3	2	1	2	2	4	0	1	1	1	3	4	2	1	3	0	2	0	2
OTU11482	3	7	1	0	0	4	1	1	3	1	1	1	3	1	2	2	0	0	2	1
OTU11483	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU11484	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11485	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU11486	1	0	0	1	1	0	1	0	1	0	0	2	2	2	1	2	0	0	0	1
OTU11487	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU11488	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11489	1	4	1	0	0	2	5	1	1	0	1	1	1	1	2	1	0	0	0	0
OTU11490	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU11491	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11492	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU11493	1	2	1	1	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0
OTU11494	2	1	2	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
OTU11495	2	0	2	3	1	4	3	1	5	1	0	2	5	1	2	4	1	1	0	2
OTU11496	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU11497	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
OTU11498	1	1	0	1	0	2	0	0	1	0	0	0	2	0	1	0	0	0	0	0
OTU11499	4	1	9	1	2	10	8	0	7	2	3	11	12	0	14	12	0	3	5	3
OTU11500	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
OTU11501	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11502	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
OTU11503	1	1	1	0	1	0	0	0	2	1	1	0	0	1	6	0	0	1	1	0
OTU11504	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU11505	1	0	0	0	0	1	2	0	0	0	0	1	0	1	1	0	0	0	1	0
OTU11506	3	1	0	1	0	0	0	0	3	0	0	3	1	0	3	1	0	0	0	0
OTU11507	1	1	0	1	0	2	3	2	4	1	0	1	2	1	1	4	0	1	0	2
OTU11508	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
OTU11509	1	1	1	0	3	0	2	0	0	0	0	0	0	0	3	1	0	0	0	0
OTU11510	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11511	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU11512	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU11513	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11514	1	1	0	0	2	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0
OTU11515	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11516	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
OTU11517	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0
OTU11518	1	0	2	0	1	0	3	0	2	0	0	0	1	0	0	0	1	0	0	1
OTU11519	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU11520	2	0	0	0	0	1	0	0	2	0	0	2	2	0	0	1	0	1	0	0
OTU11521	1	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0
OTU11522	2	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0
OTU11523	1	2	0	1	0	1	2	2	4	0	0	2	3	2	2	2	0	0	0	0
OTU11524	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
OTU11525	2	14	42	33	19	52	47	14	9	26	25	31	21	26	14	15	2	21	40	19
OTU11526	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0
OTU11527	1	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0
OTU11528	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU11529	2	2	2	0	1	3	2	1	2	2	0	2	4	0	3	3	0	2	0	1
OTU11530	1	5	4	0	1	3	7	2	5	4	4	6	8	2	3	5	0	2	1	1
OTU11531	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU11532	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU11533	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0
OTU11534	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
OTU11535	1	1	1	0	2	0	0	1	0	2	0	0	0	0	1	1	0	0	0	1
OTU11536	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU11537	1	3	2	0	2	3	4	0	2	1	0	2	1	2	3	0	0	0	1	0
OTU11538	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU11539	2	18	22	6	2	16	10	8	12	12	3	28	23	13	18	19	1	15	10	8
OTU11540	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU11541	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11542	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1
OTU11543	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
OTU11544	1	1	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0
OTU11545	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU11546	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11547	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
OTU11548	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0
OTU11549	1	0	0	2	0	1	1	0	0	0	0	1	2	0	0	0	0	0	1	1
OTU11550	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11551	1	3	2	0	3	3	1	0	3	0	0	2	1	2	2	3	0	0	0	0
OTU11552	1	2	0	0	0	2	0	0	1	1	1	0	1	1	0	0	0	0	1	0
OTU11553	2	0	0	0	0	2	2	0	1	0	0	1	1	2	0	0	0	1	0	0
OTU11554	2	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU11555	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU11556	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11557	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
OTU11558	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11559	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11560	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU11561	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11562	1	1	0	0	1	1	0	1	11	0	0	0	1	1	4	1	0	0	1	2
OTU11563	1	4	0	5	2	3	3	3	2	5	3	1	1	6	1	1	0	5	0	1
OTU11564	1	9	1	0	0	1	1	0	1	3	2	3	0	1	4	2	0	0	3	0
OTU11565	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU11566	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU11567	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11568	1	2	5	0	3	5	8	3	4	1	0	4	3	0	2	3	0	1	1	1
OTU11569	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
OTU11570	1	1	0	0	0	2	1	0	3	0	1	1	1	1	0	1	0	0	0	0
OTU11571	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11572	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
OTU11573	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11574	1	0	2	0	0	0	2	1	2	0	0	1	0	0	0	1	0	0	0	0
OTU11575	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11576	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11577	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11578	1	24	28	20	22	53	86	26	4	65	18	18	13	26	8	14	1	35	46	27
OTU11579	1	1	1	0	1	2	1	0	1	0	0	2	2	0	2	4	0	0	0	0
OTU11580	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11581	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
OTU11582	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU11583	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU11584	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11585	1	0	0	1	0	0	0	0	0	0	1	4	2	1	1	0	0	1	0	1
OTU11586	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11587	1	2	0	0	0	0	0	0	1	0	0	0	1	3	1	1	0	0	0	0
OTU11588	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11589	1	0	1	0	2	0	0	0	2	0	0	1	0	0	1	0	0	0	1	0
OTU11590	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11591	1	4	1	0	0	1	0	0	10	0	0	2	0	0	3	2	0	1	0	0
OTU11592	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU11593	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU11594	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11595	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU11596	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0
OTU11597	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
OTU11598	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11599	1	1	7	4	7	26	14	4	6	4	3	13	12	10	3	8	2	2	5	2
OTU11600	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
OTU11601	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU11602	3	0	2	1	2	0	1	1	1	0	0	1	1	1	2	0	0	0	0	0
OTU11603	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
OTU11604	1	2	3	1	1	2	0	0	1	0	0	1	2	1	1	2	0	1	0	0
OTU11605	3	0	1	0	0	3	2	0	13	0	2	1	6	0	6	2	0	1	1	0
OTU11606	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU11607	1	2	7	0	1	6	3	1	3	1	1	5	9	1	4	3	1	4	1	2
OTU11608	1	1	0	0	1	0	3	0	1	0	0	2	2	0	0	0	0	1	2	0
OTU11609	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU11610	2	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0
OTU11611	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11612	2	3	0	0	0	0	0	0	3	0	0	0	1	0	1	1	0	0	0	0
OTU11613	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	2	0	0	0	1
OTU11614	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0
OTU11615	3	3	4	0	0	0	0	0	3	0	0	2	2	0	3	0	0	0	0	1
OTU11616	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11617	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
OTU11618	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11619	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11620	1	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0
OTU11621	1	1	2	1	1	2	3	0	1	0	0	2	2	0	0	1	0	0	0	0
OTU11622	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11623	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
OTU11624	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0
OTU11625	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11626	1	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
OTU11627	1	0	1	1	0	0	1	0	0	1	0	0	1	2	1	0	0	0	0	0
OTU11628	2	0	0	0	1	1	3	1	1	1	2	1	0	0	1	0	0	0	0	0
OTU11629	2	2	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
OTU11630	1	2	3	0	0	1	2	0	0	0	0	1	3	2	2	2	0	1	1	1
OTU11631	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11632	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
OTU11633	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11634	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
OTU11635	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU11636	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11637	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11638	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU11639	1	6	1	0	2	0	1	1	0	1	2	9	1	1	1	2	0	1	1	2
