	Ga0540489_genes.fna.	Ga0541010_genes.fna.	Ga0541012_genes.fna.	Ga0541011_genes.fna.	Ga0541014_genes.fna.	Ga0541013_genes.fna.	Ga0541015_genes.fna.	Ga0541016_genes.fna.	Ga0541017_genes.fna.	Ga0541018_genes.fna.	Ga0541019_genes.fna.	Ga0541020_genes.fna.	Ga0541021_genes.fna.	Ga0541022_genes.fna.	Ga0541023_genes.fna.	Ga0541024_genes.fna.	Ga0541025_genes.fna.	Ga0541026_genes.fna.	Ga0541027_genes.fna.	Ga0541028_genes.fna.
OTU00087	98	82	1	3	1	0	1	0	0	0	1	3	1	0	7	4	1	0	1	0
OTU00088	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00089	8	0	1	0	1	1	0	0	2	0	0	0	2	0	3	1	0	1	1	1
OTU00090	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00091	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
OTU00092	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU00093	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00094	6	6	2	0	0	0	1	1	1	0	0	0	0	1	2	0	0	0	0	0
OTU00095	3	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
OTU00096	3	0	1	0	0	2	0	0	0	0	1	1	1	0	1	0	0	0	1	0
OTU00097	2	1	3	0	1	0	3	3	1	0	1	4	3	0	4	1	0	0	0	1
OTU00098	4	2	1	0	1	1	1	0	0	1	0	1	1	0	0	1	0	1	0	0
OTU00099	5	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0
OTU00100	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00101	20	10	4	0	0	0	0	0	0	1	1	1	0	2	0	0	1	1	0	0
OTU00102	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1
OTU00103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00104	5	4	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0
OTU00105	5	6	1	0	0	1	0	0	0	0	1	0	2	2	1	0	0	0	0	1
OTU00106	5	4	6	0	1	0	0	1	4	0	2	3	1	1	5	0	1	1	2	1
OTU00107	3	2	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0
OTU00108	10	4	2	0	0	1	2	0	1	1	0	2	2	1	2	0	0	0	0	0
OTU00109	774	626	388	18	30	435	108	63	18	24	230	226	294	461	260	543	327	369	376	264
OTU00110	528	405	253	7	9	261	76	32	13	20	145	137	161	281	155	350	216	264	254	174
OTU00111	12	10	8	0	5	5	6	6	9	2	1	10	9	2	4	8	0	4	1	0
OTU00112	7	2	3	1	0	0	1	1	2	0	1	6	1	5	0	3	1	3	1	0
OTU00113	7	4	4	0	0	4	3	0	3	2	1	1	1	0	4	3	0	1	1	0
OTU00114	5	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
OTU00115	16	7	3	0	0	0	2	1	0	0	0	1	0	0	3	1	1	1	0	0
OTU00116	5	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
OTU00117	16	4	0	0	1	1	1	0	0	1	0	1	1	0	2	0	0	0	1	0
OTU00118	12	6	0	0	0	1	0	2	1	0	1	1	1	0	2	0	0	0	0	1
OTU00119	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00120	1	2	1	0	0	0	1	0	0	1	0	0	1	0	3	0	0	1	0	0
OTU00121	4	0	0	0	1	2	2	0	2	0	0	0	0	0	3	1	0	1	0	0
OTU00122	2534	1042	175	43	69	193	124	53	174	62	55	135	194	92	545	284	18	216	96	50
OTU00123	7	4	7	7	0	5	6	3	0	2	7	5	2	5	1	4	1	5	5	4
OTU00124	1	2	3	5	0	2	0	1	0	3	2	5	1	1	0	2	0	0	3	2
OTU00125	4	4	2	0	0	1	2	1	1	1	0	2	0	0	1	2	0	0	1	0
OTU00126	2	0	0	1	0	3	1	0	1	0	0	0	0	0	1	0	0	1	0	0
OTU00127	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0
OTU00128	3	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1
OTU00129	11	0	4	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0
OTU00130	7	5	1	6	1	3	3	1	0	0	1	6	0	1	0	3	0	1	3	0
OTU00131	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
OTU00132	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
OTU00133	73	29	76	4	4	8	9	6	50	14	2	13	27	10	56	28	2	9	12	29
OTU00134	10	3	0	0	0	1	0	1	2	0	0	0	2	0	0	0	0	0	0	0
OTU00135	3	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1
OTU00136	7268	3126	408	81	155	418	281	153	469	150	74	294	466	185	1292	672	41	647	216	123
OTU00137	115	233	381	145	109	277	267	140	182	187	152	312	316	211	311	290	43	203	228	182
OTU00138	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU00139	51	16	6	3	5	9	5	4	6	4	1	4	3	3	5	7	2	4	2	2
OTU00140	2	4	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0
OTU00141	3	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0
OTU00142	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00143	8	3	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU00144	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
OTU00145	4	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
OTU00146	1219	576	272	82	140	378	297	268	330	183	82	226	289	190	390	355	18	205	139	126
OTU00147	3	2	0	0	0	0	2	1	3	0	0	1	1	0	0	2	0	0	0	0
OTU00148	3	1	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0
OTU00149	8	0	0	0	0	2	0	0	0	0	0	0	1	1	1	1	0	0	1	1
OTU00150	12	3	2	0	1	1	1	0	0	0	0	1	0	1	2	3	0	0	1	0
