__taxon__,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Deltaproteobacteria bacterium CG03_land_8_20_14_0_80_45_14,0.062483816128705384,0.40638860364001833,0.583457564385956,0.9467338506832482,0.8422150255171099,0.7059430089829265,0.726494055068836,0.8002450511161311,0.39323377910661184,1.03530661003451,0.83743187558155,0.8624598930481283,0.7937247592420007,0.8955556262526645,0.701527170686957,0.7827707941535518,1.9024088943792465,0.7401875363040411,0.8657094594594594,0.8427711458014489
Candidatus Rokubacteria bacterium,4.091282663274151,2.2766501343704255,0.20819410887780804,0.3364698702776701,0.4191022388882762,0.3073628269448135,0.2747575093867334,0.2929126622506413,0.3810467818202499,0.28442489286662365,0.19673002791439584,0.2515508021390374,0.3619136377757068,0.2942767155537174,0.8715126005072581,0.5542908047114719,0.5064854848672019,1.0737698116338894,0.3800675675675676,0.2509947964493419
Chloroflexi bacterium RBG_13_52_14,0.0022516690496830775,0.07574267881462707,0.20562381123734128,0.709225706957834,1.467860473044106,2.090067223224732,1.4656993116395494,2.2150323544051767,0.15924343120846265,0.9499791421745232,0.17546191678851522,0.4449197860962567,0.48928238583411,0.5503769923328986,0.14637634234525929,0.18971262661255733,0.07411982705373688,0.1908555306613559,0.6739161036036035,0.6999285787164575
Betaproteobacteria bacterium,1.544644968082591,0.631431755118093,0.08739011977587004,0.39254818199061514,0.4592077162938528,1.3722262983600706,0.8555616395494369,0.8213041314086609,1.3722558944443541,0.42284500739504727,0.101023527847933,0.6896256684491978,0.8418763591177384,0.13838959055769415,1.0583616642383034,0.8949486951070639,0.16059295861642991,0.13276906480789977,0.11261261261261261,0.10815222936435057
Desulfobacteraceae bacterium,0.11314636974657463,0.30151412528130395,0.6065902431501567,0.6754137837191466,0.7239038671706588,0.6365384996728073,0.5944931163954944,0.6662327219818508,0.43629450285175736,0.6826197428798968,0.6539944171208295,0.6091978609625668,0.5941286113699906,0.6919479527884708,0.48567265662943176,0.5848097924708832,1.099444101297097,0.564268525433574,0.6633586711711712,0.6325885113763902
Deltaproteobacteria bacterium RBG_13_47_9,0.057980478029339234,0.35832113439227425,0.6220120289929574,0.7075763448486299,0.6587324663865968,0.47591663526938865,0.581781914893617,0.5149902362445916,0.23967761329845141,0.8437938488376502,0.6646284726837698,0.5766844919786096,0.5250077663870767,0.7794356249801164,0.4391290270357779,0.5740869048797387,1.2476837554045708,0.6323126711476226,0.7601351351351352,0.6407509437812469
Deltaproteobacteria bacterium RBG_16_50_11,0.07937133400132847,0.3823548690161463,0.5526139927003547,0.6069652561871696,0.5273870278833331,0.38073330821551093,0.5006257822277848,0.4116092966267182,0.20067922198209326,0.6712427471652318,0.6220922504320086,0.5082352941176471,0.45899347623485554,0.7492126109502751,0.31771086287841993,0.47345672902438224,1.7418159357628165,0.7385279229939424,0.7601351351351352,0.7142128354249566
Chloroflexi bacterium RBG_13_51_36,0.003940420836945385,0.20756407175162228,1.4008122140543875,0.5401660907643968,0.9374655343553546,0.34107358860972853,0.7998279098873592,0.3733200597312095,0.027623860515753725,1.1490765671811596,0.7576764588594975,0.373048128342246,0.3153153153153153,0.7142175420736169,0.06610544493011711,0.4148932660265928,0.49413218035824585,0.2987303958177745,0.7214245495495496,0.9550045913682278
Planctomycetes bacterium,0.2786440448982808,0.3364722847342087,0.7248239346116281,0.4593473474133879,0.6246428105918566,0.6524023875151203,0.7196495619524406,0.631772408775893,0.444419167709332,0.5859152793052447,0.5662634587265718,0.4620320855614974,0.5374339857098478,0.6458180892692393,0.42901084668933137,0.44458741627899306,0.25941939468807906,0.42818023400547667,0.4750844594594595,0.5121926334047546
Others,43.05585265077738,43.667110926609716,40.772631470724306,45.8613381274792,44.61533833983377,46.91546530766028,46.53375312891114,46.09066891296857,53.88033993597765,42.94247032500284,41.90083743187558,47.37283422459893,47.90540540540541,42.728979098399776,48.874183800118715,47.0693523375895,35.28103767757875,38.89303792216413,40.45432150900901,44.879093970003055
