,Unclassified,Anaeromyxobacter,Bradyrhizobium,Mycobacterium,Candidatus Sulfotelmatobacter,Syntrophorhabdus,Candidatus Sulfopaludibacter,Nitrospira,Geobacter,Clostridium,Desulfobacca,Paenibacillus,Streptomyces,Syntrophus,Pseudomonas,Thermodesulfovibrio,Syntrophobacter,Bacillus,Other genera
TI.P2.D,0.9272916115329385,0.03753681342481794,0.029167180957974416,0.027766329039200933,0.022474822340558448,0.04059899767550609,0.045244399607752686,0.026791766468422188,0.0389275341849313,0.042829599398163935,0.0623011258363219,0.044652944114036974,0.04027025544180715,0.0412486228869577,0.027766329039200933,0.04582822245822668,0.02824100152651325,0.04027025544180715,0.3381459484313183
TI.P2.R,0.8869439208408713,0.20907742342002691,0.043973740340937484,0.03270349700838643,0.024297619874193488,0.05049487716908376,0.02805647475006562,0.03522274423195823,0.05611294950013124,0.06341443348585203,0.04208471212509843,0.040531231768391913,0.033860361252814816,0.04550371671956169,0.04578489581174101,0.043287374503934176,0.035705270061440905,0.028808792478411366,0.37625796134558515
TI.P3.D,0.8794317052859724,0.22181087018245213,0.05367801789808876,0.04579218831544977,0.02381063326754308,0.049617987699260985,0.030907371457922855,0.041241226579774366,0.05724871480112776,0.03177468048580737,0.032018168188211696,0.040095412766094636,0.03728516175015218,0.04423945686077577,0.03738916519276331,0.040095412766094636,0.03237996688322592,0.025389173428230157,0.3895776382872802
TI.P3.R,0.9242282280801911,0.058751904983563356,0.034997534351480244,0.03190671351488536,0.027050232466874397,0.04529882541668521,0.03698633607276545,0.032155018532265815,0.03928058554134398,0.0480259635609903,0.042583809620447,0.04529882541668521,0.034997534351480244,0.03846215025857605,0.03360634335578179,0.037625916660670486,0.0343089909821736,0.03677067046707417,0.345584470088488
TI.P4.D,0.8536024534652356,0.25624255110124367,0.07899078773487032,0.0660118398663171,0.04602252078265017,0.04710896117145794,0.036174825382767874,0.07899078773487032,0.053856708334691195,0.026230445355699968,0.030730497864526588,0.03503815846619475,0.04048635839544392,0.03781581885443055,0.040569578130523254,0.03964455423486757,0.027851878929333142,0.022790347177059855,0.41216198582993124
TI.P4.R,0.8761807830153481,0.23054832237905462,0.057224163627213824,0.04513699859668854,0.038101364966882344,0.04586213735619343,0.04051452380260845,0.06790317860153643,0.05137587004066773,0.047971831782422286,0.031065412973321455,0.0386387873475621,0.03895768233481631,0.037556252967901535,0.04081876730331846,0.0393788587084606,0.03039437460867476,0.023508320435485168,0.38602479715249993
VI.P1.D,0.9336215326094109,0.036862765712642555,0.036862765712642555,0.02222908410974788,0.035147268043129815,0.06480836005520499,0.04007405128214889,0.035147268043129815,0.047155008340706565,0.0415868083802287,0.033343626164621824,0.04007405128214889,0.043046436279248736,0.04007405128214889,0.024852871573478326,0.024852871573478326,0.0415868083802287,0.035147268043129815,0.3202068509953152
VI.P1.R,0.9271533368859474,0.030756781150768783,0.0425320879808132,0.025441092565739218,0.04871598334675395,0.046269873244124876,0.04837411257314426,0.03597913814805772,0.036890146574403475,0.0352804475959994,0.061107527750042225,0.039497297521385206,0.03383981654749528,0.0352804475959994,0.03799820495478582,0.030756781150768783,0.0352804475959994,0.02702276552174941,0.3379073774494925
VI.P2.D,0.9281060888509255,0.035839749059007275,0.03534538401504744,0.06264060760178433,0.04215646798289431,0.04727215387023878,0.046710484576477786,0.029363077415613562,0.038900282543729445,0.03844529282682785,0.060059326900555154,0.041313253441358375,0.033294600243964564,0.04194725345087652,0.026859347526504613,0.028757588109469018,0.03194607646960424,0.03632738710744352,0.3317282583491907
VI.P2.R,0.9210548332850568,0.061275761164052936,0.03585502898848252,0.09454027439836438,0.037794519058322644,0.04737793696791344,0.04402928225798661,0.029964438331699653,0.04040404040404041,0.044719078022583146,0.03129683512086802,0.04606769394339951,0.03859590540311677,0.033501260508640406,0.027103854272724725,0.028210585947007965,0.027477718199465543,0.033195306515464616,0.344146617293371
