	Domain	Phylum	Class	Order	Family	Genus	Species
OTU02749	Bacteria	 candidate division NC10	 NA	 NA	 NA	 NA	 candidate division NC10 bacterium RIFCSPLOWO2_12_FULL_66_18
OTU02750	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces spongiae
OTU02751	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Variovorax	 Variovorax sp. SRS16
OTU02752	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 Legionellaceae	 Legionella	 Legionella sp. 40-6
OTU02753	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Beijerinckiaceae	 Pseudochelatococcus	 Pseudochelatococcus lubricantis
OTU02754	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Acetobacteraceae	 Roseomonas	 Roseomonas rosea
OTU02755	Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacteraceae	 Ammonifex	 Ammonifex degensii
OTU02756	Bacteria	 Chloroflexi	 Anaerolineae	 NA	 NA	 NA	 Anaerolineae bacterium CG2_30_64_16
OTU02757	Archaea	 Euryarchaeota	 Methanomicrobia	 Methanotrichales	 Methanotrichaceae	 Methanothrix	 Methanothrix harundinacea
OTU02758	Bacteria	 Proteobacteria	 Oligoflexia	 Bdellovibrionales	 Bdellovibrionaceae	 Bdellovibrio	 Bdellovibrio sp. 28-41-41
OTU02759	Bacteria	 Ignavibacteriae	 Ignavibacteria	 NA	 NA	 NA	 Ignavibacteria bacterium
OTU02760	Bacteria	 Armatimonadetes	 NA	 NA	 NA	 NA	 Armatimonadetes bacterium
OTU02761	Bacteria	 Proteobacteria	 Betaproteobacteria	 Nitrosomonadales	 Methylophilaceae	 Methylophilus	 Methylophilus sp. 13
OTU02762	Bacteria	 Candidatus Cloacimonetes	 NA	 NA	 NA	 NA	 Candidatus Cloacimonetes bacterium
OTU02763	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Pleioneaceae	 Aliikangiella	 NA
OTU02764	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium intermedium
OTU02765	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Kinneretia	 Kinneretia sp. DAIF2
OTU02766	Archaea	 Candidatus Thermoplasmatota	 Thermoplasmata	 Methanomassiliicoccales	 NA	 NA	 Methanomassiliicoccales archaeon
OTU02767	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Acetobacteraceae	 Sediminicoccus	 Sediminicoccus rosea
OTU02768	Bacteria	 NA	 NA	 NA	 NA	 NA	 candidate division KSB1 bacterium 4572_119
OTU02769	Bacteria	 Candidatus Melainabacteria	 NA	 NA	 NA	 NA	 NA
OTU02770	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Eubacteriales Family XIII. Incertae Sedis	 Zhenpiania	 Zhenpiania hominis
OTU02771	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium sp. 1164966.3
OTU02772	Bacteria	 Candidatus Rokubacteria	 NA	 NA	 NA	 NA	 Candidatus Rokubacteria bacterium 13_2_20CM_70_12
OTU02773	Bacteria	 Cyanobacteria	 NA	 Nostocales	 Nostocaceae	 NA	 NA
OTU02774	Bacteria	 Acidobacteria	 Holophagae	 Acanthopleuribacterales	 Acanthopleuribacteraceae	 NA	 NA
OTU02775	Bacteria	 Cyanobacteria	 NA	 Nostocales	 Calotrichaceae	 Calothrix	 Calothrix sp. PCC 7507
OTU02776	Bacteria	 Proteobacteria	 Betaproteobacteria	 Neisseriales	 Chromobacteriaceae	 Pseudogulbenkiania	 Pseudogulbenkiania subflava
OTU02777	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Amycolatopsis	 Amycolatopsis acididurans
OTU02778	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Saccharomonospora	 Saccharomonospora amisosensis
OTU02779	Bacteria	 Chloroflexi	 Ktedonobacteria	 Ktedonobacterales	 Dictyobacteraceae	 Dictyobacter	 Dictyobacter alpinus
OTU02780	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Candidimonas	 Candidimonas humi
OTU02781	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Cellvibrionales	 Cellvibrionaceae	 Cellvibrio	 Cellvibrio mixtus
OTU02782	Bacteria	 Chloroflexi	 Chloroflexia	 Chloroflexales	 Oscillochloridaceae	 Oscillochloris	 Oscillochloris sp. ZM17-4
OTU02783	Bacteria	 Armatimonadetes	 NA	 NA	 NA	 NA	 Armatimonadetes bacterium RBG_16_58_9
