	Domain	Phylum	Class	Order	Family	Genus	Species
OTU15511	Bacteria	 Proteobacteria	 Alphaproteobacteria	 NA	 NA	 NA	 alpha proteobacterium MED-G10
OTU15512	Bacteria	 Candidatus Parcubacteria	 NA	 NA	 NA	 NA	 Parcubacteria bacterium SG8_24
OTU15513	Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacteraceae	 Ammonifex	 Ammonifex sp.
OTU15514	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfovibrionales	 Desulfovibrionaceae	 Pseudodesulfovibrio	 Pseudodesulfovibrio sp. JC047
OTU15515	Eukaryota	 Ascomycota	 Neolectomycetes	 Neolectales	 Neolectaceae	 Neolecta	 Neolecta irregularis
OTU15516	Bacteria	 NA	 NA	 NA	 NA	 NA	 Parcubacteria group bacterium GW2011_GWC2_39_14
OTU15517	Bacteria	 Chlorobi	 Chlorobia	 Chlorobiales	 Chlorobiaceae	 Chlorobaculum	 Chlorobaculum parvum
OTU15518	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Oligella	 NA
OTU15519	Bacteria	 Firmicutes	 Negativicutes	 Selenomonadales	 Selenomonadaceae	 Selenomonas	 Selenomonas massiliensis
OTU15520	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces murinus
OTU15521	Bacteria	 Bacteroidetes	 Chitinophagia	 Chitinophagales	 Chitinophagaceae	 Taibaiella	 Taibaiella soli
OTU15522	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfobacterales	 Desulfobacteraceae	 Desulfoluna	 Desulfoluna butyratoxydans
OTU15523	Bacteria	 NA	 NA	 NA	 NA	 NA	 bacterium HR34
OTU15524	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 NA	 Intestinimonas	 Intestinimonas butyriciproducens
OTU15525	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Kordiimonadales	 NA	 NA	 Kordiimonadales bacterium
OTU15526	Eukaryota	 Zoopagomycota	 Harpellomycetes	 Harpellales	 Legeriomycetaceae	 Smittium	 Smittium culicis
OTU15527	Bacteria	 Bacteroidetes	 Chitinophagia	 Chitinophagales	 Chitinophagaceae	 Chitinophaga	 Chitinophaga japonensis
OTU15528	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Desulfitobacteriaceae	 Desulfosporosinus	 Desulfosporosinus sp. I2
OTU15529	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Clostridiaceae	 Clostridium	 Clostridium sp. Cult2
OTU15530	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Paracoccus	 Paracoccus sp. EGI L200073
OTU15531	Bacteria	 Bacteroidetes	 Chitinophagia	 Chitinophagales	 Chitinophagaceae	 Chitinophaga	 Chitinophaga polysaccharea
OTU15532	Bacteria	 Nitrospirae	 NA	 NA	 NA	 NA	 Nitrospirae bacterium CG_4_10_14_3_um_filter_44_29
OTU15533	Bacteria	 Bacteroidetes	 NA	 NA	 NA	 NA	 Bacteroidetes bacterium ADurb.BinA012
OTU15534	Bacteria	 Bacteroidetes	 Bacteroidia	 Marinilabiliales	 Prolixibacteraceae	 Maribellus	 Maribellus luteus
OTU15535	Archaea	 Euryarchaeota	 Methanobacteria	 Methanobacteriales	 Methanobacteriaceae	 Methanobacterium	 Methanobacterium sp. SMA-27
OTU15536	Bacteria	 Proteobacteria	 Oligoflexia	 Silvanigrellales	 NA	 NA	 NA
OTU15537	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Colwelliaceae	 Thalassotalea	 Thalassotalea marina
OTU15538	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Methylobacteriaceae	 Methylobacterium	 Methylobacterium phyllosphaerae
OTU15539	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Micromonospora	 Micromonospora humida
OTU15540	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Acetobacteraceae	 Roseomonas	 Roseomonas sp. JC162
OTU15541	Bacteria	 NA	 NA	 NA	 NA	 NA	 Candidatus Dependentiae bacterium Noda2021
OTU15542	Bacteria	 Candidatus Curtissbacteria	 NA	 NA	 NA	 NA	 Candidatus Curtissbacteria bacterium RIFCSPLOWO2_01_FULL_38_11b
OTU15543	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Caulobacter	 Caulobacter sp. Root1472
OTU15544	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 NA	 NA	 Sphingomonadales bacterium BRH_c3
OTU15545	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Sutterellaceae	 Sutterella	 Sutterella sp. AM11-39
OTU15546	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Thiotrichales	 Thiotrichaceae	 Beggiatoa	 NA
OTU15547	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 Burkholderia catarinensis
OTU15548	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Novosphingobium	 Novosphingobium decolorationis
OTU15549	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Hallella	 Hallella sp. CLA-AA-H145
OTU15550	Bacteria	 Candidatus Cloacimonetes	 NA	 NA	 NA	 NA	 Candidatus Cloacimonetes bacterium HGW-Cloacimonetes-1
OTU15551	Bacteria	 Fibrobacteres	 Fibrobacteria	 Fibrobacterales	 Fibrobacteraceae	 NA	 NA
OTU15552	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Aequorivita	 Aequorivita sp. H23M31
OTU15553	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Lachnoclostridium	 [Clostridium] hylemonae
OTU15554	Bacteria	 NA	 NA	 NA	 NA	 NA	 uncultured bacterium G2_7
OTU15555	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Verrucomicrobiales	 Verrucomicrobiaceae	 NA	 Verrucomicrobiaceae bacterium TMED86
OTU15556	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Pandoraea	 Pandoraea commovens
OTU15557	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Planomonospora	 Planomonospora sp. ID91781
OTU15558	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Microbacteriaceae	 Microbacterium	 Microbacterium chengjingii
OTU15559	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Proteinivoraceae	 Anaerobranca	 NA
OTU15560	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Hoyosella	 Hoyosella rhizosphaerae
OTU15561	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces antimycoticus
OTU15562	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces yerevanensis
OTU15563	Bacteria	 Candidatus Desantisbacteria	 NA	 NA	 NA	 NA	 Candidatus Desantisbacteria bacterium CG_4_10_14_3_um_filter_40_18
OTU15564	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Hoeflea	 Hoeflea sp. IMCC20628
OTU15565	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. MPR-R2A5
OTU15566	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Polaromonas	 Polaromonas sp. C04
OTU15567	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Erythrobacteraceae	 Tsuneonella	 Tsuneonella rigui
OTU15568	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Acetobacteraceae	 Roseomonas	 Roseomonas ludipueritiae
OTU15569	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfovibrionales	 Desulfovibrionaceae	 Desulfovibrio	 Desulfovibrio oxyclinae
OTU15570	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Buttiauxella	 Buttiauxella warmboldiae
OTU15571	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 NA	 Natranaerovirga	 NA
OTU15572	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 NA	 Gemmiger	 Gemmiger gallinarum
OTU15573	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Gilvibacter	 Gilvibacter sp. SZ-19
OTU15574	Archaea	 Candidatus Thermoplasmatota	 Thermoplasmata	 Methanomassiliicoccales	 NA	 NA	 Methanomassiliicoccales archaeon RumEn M2
OTU15575	Bacteria	 Candidatus Rokubacteria	 NA	 NA	 NA	 NA	 Candidatus Rokubacteria bacterium 13_1_40CM_3_69_38
OTU15576	Bacteria	 Actinobacteria	 Actinomycetia	 Glycomycetales	 Glycomycetaceae	 Glycomyces	 Glycomyces tenuis
OTU15577	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Nevskiales	 Sinobacteraceae	 Polycyclovorans	 Polycyclovorans algicola
OTU15578	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Idiomarinaceae	 Aliidiomarina	 Aliidiomarina celeris
OTU15579	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Catellatospora	 Catellatospora citrea
OTU15580	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Nocardioidaceae	 Nocardioides	 Nocardioides baekrokdamisoli
OTU15581	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Polynucleobacter	 Polynucleobacter sp. GWA2_45_21
OTU15582	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 Streptococcus pyogenes
OTU15583	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Massilia	 Massilia mucilaginosa
OTU15584	Bacteria	 Firmicutes	 Erysipelotrichia	 Erysipelotrichales	 Erysipelotrichaceae	 Faecalicoccus	 Faecalicoccus pleomorphus
OTU15585	Eukaryota	 Chlorophyta	 Chlorophyceae	 Chlamydomonadales	 Tetrabaenaceae	 Tetrabaena	 Tetrabaena socialis
OTU15586	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Janthinobacterium	 Janthinobacterium sp. KBS0711
OTU15587	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 NA	 NA	 Flavobacteriales bacterium TMED84
OTU15588	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingobium	 Sphingobium chungbukense
OTU15589	Eukaryota	 Evosea	 Eumycetozoa	 Acytosteliales	 Acytosteliaceae	 Acytostelium	 Acytostelium subglobosum
OTU15590	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Roseobacteraceae	 Seohaeicola	 Seohaeicola saemankumensis
OTU15591	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Rhizobiaceae	 Ensifer	 Ensifer sp. ENS05
OTU15592	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Micromonospora	 Micromonospora sp. CP22
OTU15593	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Sphingomonas sp. Mn802worker
OTU15594	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Alteromonadaceae	 Alishewanella	 Alishewanella longhuensis
OTU15595	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Melaminivora	 NA
OTU15596	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Roseobacteraceae	 Jannaschia	 Jannaschia seohaensis
OTU15597	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Mesorhizobium	 Mesorhizobium sp. WSM3626
OTU15598	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Porphyromonas	 Porphyromonas uenonis
OTU15599	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Tardibacter	 Tardibacter chloracetimidivorans
OTU15600	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Yersiniaceae	 Yersinia	 Yersinia massiliensis
OTU15601	Bacteria	 Chlamydiae	 NA	 NA	 NA	 NA	 Chlamydiae bacterium RIFCSPHIGHO2_12_FULL_49_32
OTU15602	Archaea	 Euryarchaeota	 Methanomicrobia	 Methanomicrobiales	 Methanospirillaceae	 Methanospirillum	 Methanospirillum hungatei
OTU15603	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Weeksellaceae	 Apibacter	 Apibacter muscae
OTU15604	Bacteria	 Actinobacteria	 Actinomycetia	 Actinomycetales	 Actinomycetaceae	 Schaalia	 Schaalia suimastitidis
OTU15605	Bacteria	 Deinococcus-Thermus	 Deinococci	 Thermales	 Thermaceae	 Meiothermus	 Meiothermus sp. CFH 77666
OTU15606	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Hymenobacteraceae	 Pontibacter	 Pontibacter indicus
OTU15607	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	 Alistipes senegalensis
OTU15608	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	 Bacillus sp. AFS073361
OTU15609	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Dysgonomonadaceae	 Dysgonomonas	 Dysgonomonas sp. 25
OTU15610	Bacteria	 Bacteroidetes	 Sphingobacteriia	 NA	 NA	 NA	 Sphingobacteriia bacterium 35-40-5
OTU15611	Eukaryota	 Ascomycota	 Leotiomycetes	 Helotiales	 Hyaloscyphaceae	 Hyaloscypha	 Hyaloscypha hepaticicola
OTU15612	Bacteria	 Thermotogae	 Thermotogae	 Mesoaciditogales	 Mesoaciditogaceae	 Mesoaciditoga	 Mesoaciditoga lauensis
OTU15613	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces sp. AMCC400023
OTU15614	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Microbacteriaceae	 Microbacterium	 Microbacterium sp. SLBN-146
OTU15615	Bacteria	 Proteobacteria	 Oligoflexia	 Bacteriovoracales	 NA	 NA	 NA
OTU15616	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Roseobacteraceae	 Roseovarius	 Roseovarius sp. THAF8
OTU15617	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Eubacteriales Family XIII. Incertae Sedis	 NA	 Clostridiales Family XIII bacterium
OTU15618	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Saccharothrix	 Saccharothrix texasensis
OTU15619	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Halomonadaceae	 Halomonas	 Halomonas sp. YJPS3-2
OTU15620	Bacteria	 Thermotogae	 Thermotogae	 Thermotogales	 NA	 NA	 Thermotogales bacterium 46_20
OTU15621	Bacteria	 Cyanobacteria	 NA	 Nostocales	 Calotrichaceae	 Calothrix	 Calothrix sp. PCC 7103
OTU15622	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Roseobacteraceae	 Sulfitobacter	 Sulfitobacter alexandrii
OTU15623	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Pelomonas	 Pelomonas sp. HMWF004
OTU15624	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces sp. S3(2020)
OTU15625	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces canus
OTU15626	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Roseobacteraceae	 Sulfitobacter	 Sulfitobacter sabulilitoris
OTU15627	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Erythrobacteraceae	 Erythrobacter	 Erythrobacter donghaensis
OTU15628	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Clostridiaceae	 Clostridium	 Clostridium perfringens
OTU15629	Bacteria	 Proteobacteria	 Epsilonproteobacteria	 Nautiliales	 Nitratiruptoraceae	 Nitrosophilus	 Nitrosophilus labii
OTU15630	Bacteria	 Firmicutes	 NA	 NA	 NA	 NA	 Firmicutes bacterium CAG:646
OTU15631	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 Burkholderia singularis
OTU15632	Bacteria	 Candidatus Moranbacteria	 NA	 NA	 NA	 NA	 Candidatus Moranbacteria bacterium RBG_13_45_13
OTU15633	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Eisenbergiella	 Eisenbergiella sp. OF01-20
OTU15634	Archaea	 Thaumarchaeota	 NA	 NA	 NA	 NA	 uncultured marine thaumarchaeote AD1000_72_F04
OTU15635	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Clostridiaceae	 Clostridium	 Clostridium lundense
OTU15636	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Brucellaceae	 Brucella	 [Ochrobactrum] teleogrylli
OTU15637	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Rhizobiaceae	 Rhizobium	 Rhizobium smilacinae
OTU15638	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Alicyclobacillaceae	 Alicyclobacillus	 Alicyclobacillus acidoterrestris
OTU15639	Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacterales Family III. Incertae Sedis	 Thermoanaerobacterium	 Thermoanaerobacterium xylanolyticum
OTU15640	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Janthinobacterium	 Janthinobacterium sp. CG23_2
OTU15641	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Flammeovirgaceae	 NA	 Flammeovirgaceae bacterium 311
OTU15642	Archaea	 Candidatus Parvarchaeota	 NA	 NA	 NA	 Candidatus Parvarchaeum	 Candidatus Parvarchaeum acidophilus
OTU15643	Archaea	 Euryarchaeota	 Methanobacteria	 Methanobacteriales	 Methanobacteriaceae	 Methanobacterium	 Methanobacterium sp. PtaU1.Bin097
OTU15644	Eukaryota	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Cladophialophora	 Cladophialophora psammophila
OTU15645	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Bradyrhizobiaceae	 Afipia	 Afipia sp. TMED4
OTU15646	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter	 Mucilaginibacter rubeus
OTU15647	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Paenibacillus	 Paenibacillus alginolyticus
OTU15648	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Ruaniaceae	 NA	 Ruaniaceae bacterium KH17
OTU15649	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Cellvibrionales	 Microbulbiferaceae	 Microbulbifer	 Microbulbifer sp. GL-2
OTU15650	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Novosphingobium	 Novosphingobium lindaniclasticum
OTU15651	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Dysgonomonadaceae	 Dysgonomonas	 Dysgonomonas hofstadii
OTU15652	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Caulobacter	 Caulobacter sp. SSI4214
OTU15653	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Rhizobiaceae	 Sinorhizobium	 Sinorhizobium sp. GL28
OTU15654	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Lachnoclostridium	 Lachnoclostridium sp. An14
OTU15655	Archaea	 Candidatus Altiarchaeota	 NA	 Candidatus Altiarchaeales	 NA	 Candidatus Altiarchaeum	 NA
OTU15656	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Sandaracinaceae	 NA	 NA
OTU15657	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 Legionellaceae	 Legionella	 Legionella impletisoli
OTU15658	Eukaryota	 Ascomycota	 Dothideomycetes	 Venturiales	 Venturiaceae	 Venturia	 Venturia effusa
OTU15659	Archaea	 Euryarchaeota	 Methanomicrobia	 Methanomicrobiales	 NA	 NA	 methanogenic archaeon mixed culture ISO4-G1
OTU15660	Bacteria	 Cyanobacteria	 NA	 Oscillatoriales	 Oscillatoriaceae	 Phormidium	 Phormidium sp. FACHB-1136
OTU15661	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces sp. SN-593
OTU15662	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Boseaceae	 Bosea	 Bosea sp. RAC05
OTU15663	Bacteria	 Proteobacteria	 Epsilonproteobacteria	 Campylobacterales	 Helicobacteraceae	 Wolinella	 Wolinella succinogenes
OTU15664	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. BF-RE-26
OTU15665	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Secundilactobacillus	 Secundilactobacillus similis
OTU15666	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Lachnospiraceae	 NA	 Lachnospiraceae bacterium A4
OTU15667	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Entomomonas	 Entomomonas sp. F2A
OTU15668	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. FW126-L8
OTU15669	Bacteria	 Cyanobacteria	 NA	 Synechococcales	 Trichocoleusaceae	 Trichocoleus	 Trichocoleus sp. FACHB-591
OTU15670	Bacteria	 Proteobacteria	 Betaproteobacteria	 Nitrosomonadales	 Gallionellaceae	 Candidatus Nitrotoga	 Candidatus Nitrotoga sp. AM1P
OTU15671	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium psychroterrae
OTU15672	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Halopseudomonas	 NA
OTU15673	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Rhizobiaceae	 Liberibacter	 Liberibacter crescens
OTU15674	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Blastomonas	 Blastomonas natatoria
OTU15675	Archaea	 Crenarchaeota	 Thermoprotei	 Sulfolobales	 Sulfolobaceae	 Sulfuracidifex	 Sulfuracidifex tepidarius
OTU15676	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Halomonadaceae	 Halomonas	 Halomonas hydrothermalis
OTU15677	Eukaryota	 Oomycota	 NA	 Saprolegniales	 Saprolegniaceae	 Saprolegnia	 Saprolegnia parasitica
OTU15678	Eukaryota	 Evosea	 Eumycetozoa	 Acytosteliales	 Acytosteliaceae	 Heterostelium	 Heterostelium album
OTU15679	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Gordoniaceae	 Gordonia	 Gordonia otitidis
OTU15680	Archaea	 Euryarchaeota	 Methanobacteria	 Methanobacteriales	 Methanobacteriaceae	 Methanobrevibacter	 Methanobrevibacter sp. 87.7
OTU15681	Eukaryota	 Ascomycota	 Sordariomycetes	 Diaporthales	 Diaporthaceae	 Diaporthe	 Diaporthe helianthi
OTU15682	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Nocardiaceae	 Rhodococcus	 Rhodococcus sp. SGAir0479
OTU15683	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium tapiri
OTU15684	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 NA	 NA	 NA	 Verrucomicrobiae bacterium AMD-G2
OTU15685	Bacteria	 Spirochaetes	 NA	 NA	 NA	 NA	 Spirochaetes bacterium GWF1_41_5
OTU15686	Bacteria	 Deinococcus-Thermus	 Deinococci	 Thermales	 Thermaceae	 Thermus	 Thermus igniterrae
OTU15687	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Microbacteriaceae	 Leifsonia	 Leifsonia sp. ku-ls
OTU15688	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	 Bacillus toyonensis
OTU15689	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Odoribacteraceae	 Odoribacter	 Odoribacter sp. AF15-53
OTU15690	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Promicromonosporaceae	 Isoptericola	 Isoptericola sp. BMS4
OTU15691	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Mangrovibacter	 NA
OTU15692	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Arenimonas	 Arenimonas maotaiensis
OTU15693	Bacteria	 Aquificae	 Aquificae	 Aquificales	 Hydrogenothermaceae	 Persephonella	 Persephonella sp.
OTU15694	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas vanderleydeniana
OTU15695	Bacteria	 Fusobacteria	 Fusobacteriia	 Fusobacteriales	 Fusobacteriaceae	 Hypnocyclicus	 Hypnocyclicus thermotrophus
OTU15696	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfobacterales	 Desulfobulbaceae	 NA	 Desulfobulbaceae bacterium S3730MH12
OTU15697	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfurellales	 Desulfurellaceae	 Hippea	 Hippea jasoniae
OTU15698	Bacteria	 candidate division WWE3	 NA	 NA	 NA	 NA	 candidate division WWE3 bacterium CG_4_10_14_0_2_um_filter_42_8
OTU15699	Bacteria	 Elusimicrobia	 NA	 NA	 NA	 NA	 Elusimicrobia bacterium GWB2_63_16
OTU15700	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Hymenobacteraceae	 Adhaeribacter	 Adhaeribacter aerolatus
OTU15701	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Halomonadaceae	 Halomonas	 Halomonas lutea
OTU15702	Bacteria	 NA	 NA	 NA	 NA	 NA	 Microgenomates group bacterium LiPW_31
