Module,Thermoplasmata RBG-16-68-12 - MAG01,Unclassified MAG - MAG02,Candidatus Aminicenantes  - MAG03,Acidobacteria bacterium U - MAG04,Candidatus Bathyarchaeota - MAG05,Candidatus Bathyarchaeota - MAG06,Candidatus Bathyarchaeota - MAG07,Trebonia kvetii - MAG08,Anaeromyxobacter sp. Red267 - MAG09,Candidatus Bathyarchaeota - MAG10,Nitrososphaeria archeon E - MAG11,Dehalococcoides mccartyi - MAG12,Nitrospirales bacterium L - MAG13,Spirochaetes bacterium RB - MAG14,Bacteroidota UBA6906 - MAG15,Candidatus Bathyarchaeota - MAG16,Thermoplasmata archaeon S - MAG17,Dehalococcoidia bacterium - MAG18,Euryarchaeota archaeon RB - MAG19,Candidatus Bathyarchaeota - MAG20,Candidatus Bathyarchaeota - MAG21,Candidatus Bathyarchaeota - MAG22,Candidatus Bathyarchaeota - MAG24,Nitrosotalea sp - MAG25,Burkholderiales bacterium - MAG26,Planctomycetes bacterium  - MAG27,Unclassified MAG - MAG28,Candidatus Aminicenantes  - MAG29,Anaerolineales bacterium - MAG30,Thermoflexales bacterium - MAG31,Lokiarchaeia archaeon - MAG32,Thermoflexales bacterium  - MAG33,Hydrococcus - MAG34,Acidobacteria bacterium U - MAG35,Candidatus Bathyarchaeota - MAG36,Euryarchaeota archaeon RB - MAG37,Candidatus Bathyarchaeota - MAG38,Lokiarchaeia archaeon - MAG39,Desulfobacterota bacteriu - MAG40,Dehalococcoidia bacterium - MAG41,Dehalococcoidia bacterium - MAG42,Acidobacteria bacterium U - MAG43,Anaerolineae bacterium UB - MAG44,Candidatus Aminicenantes  - MAG45,Candidatus Methanopereden - MAG46,Unclassified MAG - MAG47,Lokiarchaeia archaeon - MAG48
"M00432 | Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate",Complete,2 blocks missing,2 blocks missing,Complete,Incomplete,1 block missing,2 blocks missing,Complete,Complete,Incomplete,1 block missing,Complete,Complete,1 block missing,2 blocks missing,Complete,2 blocks missing,Complete,Complete,Incomplete,Incomplete,1 block missing,Incomplete,1 block missing,Complete,2 blocks missing,Incomplete,Incomplete,Incomplete,Complete,2 blocks missing,1 block missing,Complete,1 block missing,Incomplete,Complete,1 block missing,1 block missing,1 block missing,Complete,Incomplete,1 block missing,1 block missing,2 blocks missing,Incomplete,1 block missing,1 block missing
"M00433 | Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00525 | Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00526 | Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine",Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,Incomplete,1 block missing,1 block missing,2 blocks missing,2 blocks missing,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,1 block missing,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00527 | Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine",Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,1 block missing,Incomplete,Incomplete,1 block missing,Complete,2 blocks missing,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,1 block missing,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00528 | Nitrification, ammonia => nitrite",2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing
"M00529 | Denitrification, nitrate => nitrogen",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00530 | Dissimilatory nitrate reduction, nitrate => ammonia",2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing
"M00531 | Assimilatory nitrate reduction, nitrate => ammonia",2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing
M00532 | Photorespiration,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00533 | Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00534 | Naphthalene degradation, naphthalene => salicylate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00535 | Isoleucine biosynthesis, pyruvate => 2-oxobutanoate",1 block missing,Incomplete,2 blocks missing,1 block missing,Incomplete,1 block missing,Incomplete,1 block missing,1 block missing,Incomplete,2 blocks missing,1 block missing,1 block missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,1 block missing,1 block missing,Incomplete,Incomplete,2 blocks missing,Incomplete,2 blocks missing,1 block missing,2 blocks missing,Incomplete,Incomplete,Incomplete,1 block missing,2 blocks missing,2 blocks missing,Complete,2 blocks missing,Incomplete,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,Incomplete,1 block missing,2 blocks missing,2 blocks missing,Incomplete,2 blocks missing,2 blocks missing
"M00537 | Xylene degradation, xylene => methylbenzoate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00538 | Toluene degradation, toluene => benzoate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00539 | Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00540 | Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00541 | Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00542 | EHEC/EPEC pathogenicity signature, T3SS and effectors",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00543 | Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00544 | Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00545 | Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00546 | Purine degradation, xanthine => urea",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00547 | Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol",2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing
"M00548 | Benzene degradation, benzene => catechol",1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
"M00549 | Nucleotide sugar biosynthesis, glucose => UDP-glucose",2 blocks missing,Incomplete,1 block missing,2 blocks missing,Incomplete,Incomplete,1 block missing,Complete,1 block missing,Incomplete,2 blocks missing,1 block missing,1 block missing,2 blocks missing,Incomplete,2 blocks missing,1 block missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,Incomplete,2 blocks missing,Complete,Incomplete,Incomplete,1 block missing,2 blocks missing,2 blocks missing,Incomplete,1 block missing,Complete,1 block missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,Incomplete,1 block missing,1 block missing,Complete,Incomplete,Incomplete,Incomplete
"M00550 | Ascorbate degradation, ascorbate => D-xylulose-5P",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete
"M00551 | Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol",2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing
"M00552 | D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00554 | Nucleotide sugar biosynthesis, galactose => UDP-galactose",2 blocks missing,2 blocks missing,Complete,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,1 block missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,Complete,2 blocks missing,1 block missing,Complete,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,Complete,2 blocks missing,1 block missing,1 block missing,2 blocks missing,1 block missing,1 block missing,2 blocks missing,Complete,1 block missing,Complete,2 blocks missing,2 blocks missing,2 blocks missing
"M00555 | Betaine biosynthesis, choline => betaine",2 blocks missing,1 block missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,Complete,1 block missing,2 blocks missing,1 block missing,2 blocks missing,Complete,1 block missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing
"M00563 | Methanogenesis, methylamine/dimethylamine/trimethylamine => methane",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00564 | Helicobacter pylori pathogenicity signature, cagA pathogenicity island",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00565 | Trehalose biosynthesis, D-glucose 1P => trehalose",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00567 | Methanogenesis, CO2 => methane",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00568 | Catechol ortho-cleavage, catechol => 3-oxoadipate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00569 | Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00570 | Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,2 blocks missing,Incomplete,2 blocks missing,1 block missing,1 block missing,2 blocks missing,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,1 block missing,Complete,Incomplete,Incomplete,2 blocks missing,Incomplete,Complete,2 blocks missing,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete
"M00572 | Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
