,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
"M00097 | beta-Carotene biosynthesis, GGAP => beta-carotene",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M00098 | Acylglycerol degradation,0,1,2,0,1,1,1,0,1,1,0,1,1,0,0,2,1,1,1,0
M00099 | Sphingosine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00100 | Sphingosine degradation,1,1,1,1,1,1,1,0,2,1,1,1,1,0,2,1,1,1,1,2
"M00101 | Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00102 | Ergocalciferol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00103 | Cholecalciferol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00104 | Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00106 | Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"M00107 | Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"M00108 | C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00109 | C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00110 | C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00112 | Tocopherol/tocotorienol biosynthesis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M00113 | Jasmonic acid biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00114 | Ascorbate biosynthesis, plants, glucose-6P => ascorbate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00115 | NAD biosynthesis, aspartate => NAD",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2
"M00116 | Menaquinone biosynthesis, chorismate => menaquinol",1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0
"M00117 | Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00118 | Glutathione biosynthesis, glutamate => glutathione",2,2,0,2,1,2,1,1,2,2,0,2,2,0,2,1,0,1,0,0
"M00119 | Pantothenate biosynthesis, valine/L-aspartate => pantothenate",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2
"M00120 | Coenzyme A biosynthesis, pantothenate => CoA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00121 | Heme biosynthesis, plants and bacteria, glutamate => heme",2,2,0,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,1,1
"M00122 | Cobalamin biosynthesis, cobinamide => cobalamin",0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,2,2
"M00123 | Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",2,2,0,2,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,1
"M00124 | Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P",1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0
"M00125 | Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD",2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2
"M00126 | Tetrahydrofolate biosynthesis, GTP => THF",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00127 | Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P",1,2,0,2,1,1,1,1,2,1,2,1,1,1,2,1,0,1,1,1
"M00128 | Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00129 | Ascorbate biosynthesis, animals, glucose-1P => ascorbate",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00130 | Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00131 | Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00132 | Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00133 | Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
"M00134 | Polyamine biosynthesis, arginine => ornithine => putrescine",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2
"M00135 | GABA biosynthesis, eukaryotes, putrescine => GABA",2,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0
"M00136 | GABA biosynthesis, prokaryotes, putrescine => GABA",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"M00137 | Flavanone biosynthesis, phenylalanine => naringenin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00138 | Flavonoid biosynthesis, naringenin => pelargonidin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00140 | C1-unit interconversion, prokaryotes",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
"M00141 | C1-unit interconversion, eukaryotes",0,2,2,2,2,0,1,2,0,1,2,2,2,2,0,2,0,2,0,2
"M00142 | NADH:ubiquinone oxidoreductase, mitochondria",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M00143 | NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M00144 | NADH:quinone oxidoreductase, prokaryotes",2,2,1,1,2,1,1,1,2,1,2,2,1,1,2,2,1,2,1,2
"M00145 | NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
M00146 | NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M00147 | NADH dehydrogenase (ubiquinone) 1 beta subcomplex,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M00148 | Succinate dehydrogenase (ubiquinone),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M00149 | Succinate dehydrogenase, prokaryotes",2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
"M00150 | Fumarate reductase, prokaryotes",2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
M00151 | Cytochrome bc1 complex respiratory unit,2,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1
M00152 | Cytochrome bc1 complex,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M00153 | Cytochrome bd ubiquinol oxidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M00154 | Cytochrome c oxidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M00155 | Cytochrome c oxidase, prokaryotes",2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1
"M00156 | Cytochrome c oxidase, cbb3-type",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M00157 | F-type ATPase, prokaryotes and chloroplasts",2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"M00158 | F-type ATPase, eukaryotes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
