display_group,taxon,count_or_abundance,relative_abundance_percent,taxonomy_level,layer_filter,top_n,colour_hex,script,input_table
Ferruginous lake/sediment group: Lake Matano,Bacteria:Desulfobacterota:Desulfobacteria:Desulfobacterales,120826,3.384652447462337,Order,Metagenomics,25,#6B2594,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Planctomycetota:Planctomycetia:Gemmatales,58344,1.6343681194009783,Order,Metagenomics,25,#E31034,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Planctomycetota:Planctomycetia:Pirellulales,86029,2.409897417796976,Order,Metagenomics,25,#96D050,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Pseudomonadota:Alphaproteobacteria:Acetobacterales,10733,0.3006594170014174,Order,Metagenomics,25,#F0101A,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Pseudomonadota:Alphaproteobacteria:Caulobacterales,58387,1.6355726619269317,Order,Metagenomics,25,#261FB9,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Pseudomonadota:Alphaproteobacteria:Rhizobiales,297650,8.33795541511897,Order,Metagenomics,25,#D2F356,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Pseudomonadota:Alphaproteobacteria:Rhodobacterales,36788,1.0305281498787056,Order,Metagenomics,25,#3CA31F,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Pseudomonadota:Alphaproteobacteria:Sphingomonadales,52136,1.4604657937935246,Order,Metagenomics,25,#9E25EF,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Pseudomonadota:Gammaproteobacteria:Burkholderiales,222646,6.236897098453143,Order,Metagenomics,25,#87C91B,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Pseudomonadota:Gammaproteobacteria:Pseudomonadales,54040,1.5138018163380786,Order,Metagenomics,25,#1BF738,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
